A converso was an Iberian convert to Roman Catholicism from which religion?,Islam,Lutheranism,Judaism,Catharism,Judaism
Valentianism Catharism and Bogomilism were all movements following which ancient Christian heresy?,Gnosticm,Arianism,Montanism,Nestorianism,Gnosticm
Ibadism is a branch of which major religion?,Judaism,Christianity,Buddhism,Islam,Judaism
The Dead Sea Scrolls are ancient manuscripts of which religious text?,Bible,Talmud,Hadiths,Quran,Bible
The Religious Society of Friends is the official name of which religious group?,Pentecostals,Amish,Quakers,Methodists,Quakers
The Taborites and Ultraquists were factions of which proto-protestant movement?,Lollards,Waldensians,Hussites,Aronoldists,Hussites
What is the name of the Catholic miracle where a person recevies the wounds of Christ,Transsubstantiation,Stigmata,Confirmation,Apparition,Stigmata
Emperor Haile Selassie of Ethiopia was worshipped as a God by which religious movement?,Rastafarianism,Mandeism,Druze,Black Hebrew Isrelites,Rastafarianism
Which of these Kings of Isreal appeared first in the bible?,David,Solomon,Saul,Rehoboam,Saul
The Unification Church is more commonly known as,Mormons,Lollards,Moonies,Mennonites
Which Christian movement sent missionaries to China during the Tang dynasty?,Nestorians,Coptics,Monophysites,Armenian Apostolic,Nestorians
The Shinto religion is native to which Asian country?,Japan,Korea,Vietnam,Thailand,Japan
Jesus Christ lived in which province of the Roman Empire,Gaul,Judea,Britannia,Sicily,Judea
The Thirty-Nine Articles were finalised in which year,1534,1558,1571,1588,1571
The Thirty Years War ended in which year,1524,1588,1618,1648,1648
The Ninety-Five theses was published in which year,1453,1517,1547,1558,1517
John Calvin was born in which modern day country,Switzerland,Austria,France,Germany,France
Which branch of Islam is the largest?,Sunni,Shia,Ibadi,None of the above,Sunni
How many countries in the world have a Hindu majority?,1,2,3,4,2
Which country has the highest Sikh population by percentage?,India,Nepal,United States,Canada,Canada


